index,category,points,content
1,Get Data,,"Getting data, whatever that means for your project, is usually the first step. So let's access some basic data"
2,Get Data,100,"Agency copilot is internal only, and gives you access to MCP servers and skills"
3,Get Data,100,Confirm Folder Trust - human in the loop for safety! Click #2 and trust work folders
4,Get Data,200,WorkIQ - 'intelligence layer' between you/AI and M365 data
5,Get Data,200,"Permissions again, ugh. Is it going to ask me to do everything? Yes."
6,Get Data,200,Reduce some cognitive load. '/experimental on' and then '/yolo auto' 
7,Get Data,200,"Sometimes, even if an agent is set up to have MCP servers and connections like WorkIQ, you must specifically name them in your prompt"
8,Get Data,300,No connector and no download button? Tell the agent the exact URL and what you'd like it to read. Success depends on the accessibility/readability of the website.
9,Process Intelligently,,Let's get some larger and more complex data sets and show how we can use AI to process this data...intelligently
10,Process Intelligently,100,"M365 chat hallucinates totals, or needs effort from Microsoft to ingest grounded, properly referenced answers. A CLI agent downloads the real file and computes real answers. Writing python/powershell scripts are more flexible and reusable."
11,Process Intelligently,200,"Chat will guess which country ""feels"" like it's rising. The agent subtracts two real columns for every economy and ranks them - no vibes, just the delta."
12,Process Intelligently,300,"Give the agent only the blog post. It has to navigate to the public data itself, then verify — and honestly flag any claim the data can't confirm."
13,Visualize,100,"If at first you don't succeed try again. Then your courage should appear, For if you will persevere, You will conquer, never fear; Try, try again. (Sharepoint MCP times out frequently)"
14,Visualize,200,"Vague prompts will usually give you vague/default results."
15,Visualize,300,"Stating your high level goals ahead of your more specific instructions give the AI context to tailor results to your need"
16,Productionalize,,"You can build projects"
17,Productionalize,100,"Turn on Plan Mode (Shift+Tab OR /plan), read the plan it proposes, then approve it to run."
18,Productionalize,100,"Plan mode (or Spec-Kit) are an easy way for you to transition from small projects to big projects. Work on the Plan/Spec with the agent, then go back to your work til its done."
19,Productionalize,100,"When a Plan/Spec is created, take your time to review - these are human readable files. Edit directly or work with the Agent."
20,Productionalize,200,"Tests are a must have for real engineering systems and for citizen developers for the same reason - you don't have time to manually test after every little change."
21,Productionalize,200,"Tests vs Evaluations (evals): Tests are code that is strict and checks known things with a definitive answer, evals are driven by the LLM and can be more loose or up to interpretation."
22,Productionalize,300,"Take everything we learned and make the most robust version of our demo - and add Intelligence on top of it!"
